Order_ID,Date,Month,Quarter,Category,Product,City,State,Quantity,Unit_Price,Discount_Percent,Final_Amount,Payment_Method,Order_Status,Customer_Rating
ORD10099,2023-06-16,June,Q2,Home & Kitchen,Water Bottle,Kolkata,West Bengal,1,6355.19,9.0,5783.22,UPI,Returned,4.1
ORD10100,2023-01-29,January,Q1,Electronics,Tablet,Bangalore,Karnataka,4,47443.74,15.0,161308.72,Cash on Delivery,Delivered,4.4
ORD10101,2023-04-28,April,Q2,Beauty,Lipstick,Madurai,Tamil Nadu,3,12518.1,5.0,35676.58,Net Banking,Cancelled,4.3
ORD10102,2023-01-17,January,Q1,Toys,Puzzle,Delhi,Delhi,3,38759.48,28.0,83720.48,Cash on Delivery,Delivered,3.0
ORD10103,2023-06-11,June,Q2,Grocery,Dal 1kg,Delhi,Delhi,2,42648.67,18.0,69943.82,Net Banking,Delivered,4.7
ORD10104,2023-07-25,July,Q3,Beauty,Perfume,Delhi,Delhi,5,27131.46,36.0,86820.67,Debit Card,Delivered,4.6
ORD10105,2023-05-18,May,Q2,Sports,Cricket Bat,Chennai,Tamil Nadu,2,11874.97,20.0,18999.95,Cash on Delivery,Delivered,3.4
ORD10106,2023-02-03,February,Q1,Grocery,Biscuits,Bangalore,Karnataka,5,44218.11,3.0,214457.83,Net Banking,Cancelled,3.5
ORD10107,2023-04-19,April,Q2,Toys,RC Car,Jaipur,Rajasthan,1,6310.07,13.0,5489.76,Net Banking,Cancelled,2.7
ORD10108,2023-10-18,October,Q4,Beauty,Shampoo,Ahmedabad,Gujarat,5,9139.06,39.0,27874.13,Credit Card,Delivered,3.6
ORD10109,2023-06-11,June,Q2,Home & Kitchen,Bedsheet,Bangalore,Karnataka,2,16166.9,28.0,23280.34,Cash on Delivery,Delivered,3.4
ORD10110,2023-04-19,April,Q2,Clothing,Saree,Chennai,Tamil Nadu,5,13758.83,25.0,51595.61,Credit Card,Cancelled,4.0
ORD10111,2023-12-02,December,Q4,Home & Kitchen,Water Bottle,Jaipur,Rajasthan,2,8601.47,25.0,12902.2,UPI,Cancelled,4.8
ORD10112,2023-09-13,September,Q3,Electronics,Smartphone,Delhi,Delhi,1,47429.92,31.0,32726.64,Debit Card,Cancelled,3.2
ORD10113,2023-07-22,July,Q3,Toys,Puzzle,Mumbai,Maharashtra,4,44455.39,22.0,138700.82,UPI,Returned,4.1
ORD10114,2023-11-26,November,Q4,Sports,Dumbbells,Hyderabad,Telangana,4,3695.0,2.0,14484.4,Net Banking,Returned,3.6
ORD10115,2023-08-23,August,Q3,Sports,Yoga Mat,Jaipur,Rajasthan,2,15663.5,29.0,22242.17,UPI,Returned,4.3
ORD10116,2023-03-15,March,Q1,Home & Kitchen,Bedsheet,Ahmedabad,Gujarat,5,5353.89,10.0,24092.51,Net Banking,Delivered,2.8
ORD10117,2023-05-16,May,Q2,Home & Kitchen,Mixer Grinder,Mumbai,Maharashtra,3,47271.98,35.0,92180.36,Debit Card,Delivered,3.5
ORD10118,2023-03-13,March,Q1,Beauty,Shampoo,Bangalore,Karnataka,4,49798.67,19.0,161347.69,Net Banking,Delivered,4.7
ORD10119,2023-05-07,May,Q2,Clothing,Kurta,Ahmedabad,Gujarat,4,48336.0,9.0,175943.04,Credit Card,Delivered,3.4
ORD10120,2023-10-15,October,Q4,Grocery,Biscuits,Kolkata,West Bengal,3,26857.7,34.0,53178.25,UPI,Delivered,3.6
ORD10121,2023-10-03,October,Q4,Toys,Doll,Mumbai,Maharashtra,4,2605.33,22.0,8128.63,UPI,Delivered,3.4
ORD10122,2023-05-15,May,Q2,Toys,Puzzle,Kolkata,West Bengal,5,14022.05,40.0,42066.15,Credit Card,Delivered,4.2
ORD10123,2023-10-27,October,Q4,Clothing,Kurta,Madurai,Tamil Nadu,3,27913.7,15.0,71179.93,Cash on Delivery,Cancelled,2.9
ORD10124,2023-08-08,August,Q3,Toys,Puzzle,Mumbai,Maharashtra,1,1993.75,29.0,1415.56,Cash on Delivery,Returned,4.5
ORD10125,2023-10-26,October,Q4,Home & Kitchen,Water Bottle,Ahmedabad,Gujarat,2,16431.89,25.0,24647.83,Cash on Delivery,Delivered,2.9
ORD10126,2023-07-24,July,Q3,Beauty,Sunscreen,Ahmedabad,Gujarat,5,24517.84,23.0,94393.68,Credit Card,Delivered,3.7
ORD10127,2023-07-05,July,Q3,Beauty,Face Cream,Pune,Maharashtra,5,15418.51,36.0,49339.23,Credit Card,Cancelled,4.7
ORD10128,2023-04-23,April,Q2,Grocery,Oil 1L,Jaipur,Rajasthan,5,11415.78,2.0,55937.32,Cash on Delivery,Cancelled,3.7
ORD10129,2023-03-12,March,Q1,Toys,Board Game,Chennai,Tamil Nadu,1,28649.89,28.0,20627.92,Net Banking,Delivered,3.0
ORD10130,2023-09-18,September,Q3,Toys,Board Game,Pune,Maharashtra,2,20548.35,31.0,28356.72,Credit Card,Delivered,4.8
ORD10131,2023-09-10,September,Q3,Sports,Badminton Set,Madurai,Tamil Nadu,4,26297.58,13.0,91515.58,Cash on Delivery,Delivered,2.9
ORD10132,2023-02-16,February,Q1,Beauty,Perfume,Jaipur,Rajasthan,4,9653.6,10.0,34752.96,Debit Card,Delivered,3.9
ORD10133,2023-01-25,January,Q1,Books,Python Guide,Kolkata,West Bengal,3,24016.18,22.0,56197.86,UPI,Delivered,4.8
ORD10134,2023-02-26,February,Q1,Clothing,Jacket,Ahmedabad,Gujarat,4,44793.24,16.0,150505.29,Debit Card,Delivered,3.4
ORD10135,2023-03-20,March,Q1,Electronics,Headphones,Delhi,Delhi,3,46204.28,26.0,102573.5,Debit Card,Delivered,4.4
ORD10136,2023-11-18,November,Q4,Books,Children Book,Hyderabad,Telangana,2,5505.87,30.0,7708.22,Credit Card,Cancelled,3.1
ORD10137,2023-03-23,March,Q1,Sports,Football,Mumbai,Maharashtra,1,20694.4,29.0,14693.02,Debit Card,Delivered,2.8
ORD10138,2023-12-15,December,Q4,Home & Kitchen,Curtains,Kolkata,West Bengal,4,32544.41,30.0,91124.35,UPI,Delivered,3.2
ORD10139,2023-08-05,August,Q3,Clothing,Jacket,Chennai,Tamil Nadu,5,36947.39,34.0,121926.39,Debit Card,Returned,2.6
ORD10140,2023-11-02,November,Q4,Home & Kitchen,Mixer Grinder,Pune,Maharashtra,4,9356.27,30.0,26197.56,UPI,Delivered,4.7
ORD10141,2023-02-02,February,Q1,Electronics,Headphones,Jaipur,Rajasthan,5,5409.67,39.0,16499.49,Cash on Delivery,Cancelled,3.2
ORD10142,2023-07-17,July,Q3,Grocery,Dal 1kg,Ahmedabad,Gujarat,4,13678.21,32.0,37204.73,Net Banking,Delivered,3.3
ORD10143,2023-07-15,July,Q3,Home & Kitchen,Mixer Grinder,Madurai,Tamil Nadu,3,28410.67,30.0,59662.41,Net Banking,Returned,2.9
ORD10144,2023-11-02,November,Q4,Beauty,Face Cream,Pune,Maharashtra,1,9279.82,6.0,8723.03,Debit Card,Delivered,3.3
ORD10145,2023-08-28,August,Q3,Books,UPSC Guide,Chennai,Tamil Nadu,4,37700.14,38.0,93496.35,Cash on Delivery,Delivered,3.3
ORD10146,2023-09-28,September,Q3,Books,Novel,Chennai,Tamil Nadu,1,33405.92,19.0,27058.8,Cash on Delivery,Delivered,2.9
ORD10147,2023-05-09,May,Q2,Clothing,Saree,Madurai,Tamil Nadu,5,11081.42,38.0,34352.4,Net Banking,Cancelled,3.7
ORD10148,2023-10-11,October,Q4,Beauty,Lipstick,Ahmedabad,Gujarat,4,37879.66,32.0,103032.68,Debit Card,Cancelled,4.6
ORD10149,2023-01-06,January,Q1,Clothing,Jacket,Kolkata,West Bengal,5,35203.12,3.0,170735.13,Credit Card,Cancelled,3.9
ORD10150,2023-12-15,December,Q4,Sports,Badminton Set,Ahmedabad,Gujarat,2,8268.63,34.0,10914.59,Debit Card,Cancelled,3.6
ORD10151,2023-02-28,February,Q1,Grocery,Rice 5kg,Ahmedabad,Gujarat,4,40444.17,18.0,132656.88,Net Banking,Cancelled,3.8
ORD10152,2023-12-16,December,Q4,Electronics,Tablet,Kolkata,West Bengal,3,36177.84,16.0,91168.16,Debit Card,Cancelled,4.5
ORD10153,2023-10-02,October,Q4,Clothing,T-Shirt,Pune,Maharashtra,3,35034.22,22.0,81980.07,Credit Card,Returned,2.7
ORD10154,2023-05-17,May,Q2,Electronics,Headphones,Pune,Maharashtra,2,38460.15,31.0,53075.01,Net Banking,Delivered,4.9
ORD10155,2023-11-25,November,Q4,Toys,RC Car,Pune,Maharashtra,4,4058.49,39.0,9902.72,Debit Card,Delivered,4.7
ORD10156,2023-06-24,June,Q2,Clothing,Jeans,Ahmedabad,Gujarat,4,26465.68,29.0,75162.53,Credit Card,Delivered,3.1
ORD10157,2023-02-27,February,Q1,Books,UPSC Guide,Ahmedabad,Gujarat,4,26620.08,33.0,71341.81,UPI,Delivered,3.1
ORD10158,2023-05-31,May,Q2,Books,Python Guide,Delhi,Delhi,1,40483.44,17.0,33601.26,Credit Card,Delivered,4.4
ORD10159,2023-08-11,August,Q3,Sports,Cricket Bat,Delhi,Delhi,5,1727.13,24.0,6563.09,Credit Card,Delivered,4.3
ORD10160,2023-03-22,March,Q1,Electronics,Smart Watch,Kolkata,West Bengal,2,27011.0,30.0,37815.4,Debit Card,Cancelled,4.4
ORD10161,2023-08-21,August,Q3,Books,Python Guide,Jaipur,Rajasthan,3,28894.87,31.0,59812.38,Debit Card,Delivered,4.5
ORD10162,2023-01-02,January,Q1,Home & Kitchen,Water Bottle,Chennai,Tamil Nadu,4,15060.02,2.0,59035.28,Debit Card,Returned,4.9
ORD10163,2023-05-15,May,Q2,Grocery,Rice 5kg,Madurai,Tamil Nadu,4,39300.94,13.0,136767.27,Debit Card,Delivered,3.5
ORD10164,2023-09-14,September,Q3,Toys,Board Game,Ahmedabad,Gujarat,4,12086.36,9.0,43994.35,Debit Card,Returned,4.6
ORD10165,2023-04-02,April,Q2,Electronics,Tablet,Pune,Maharashtra,4,27886.47,5.0,105968.59,Debit Card,Delivered,3.1
ORD10166,2023-09-17,September,Q3,Clothing,Kurta,Madurai,Tamil Nadu,1,26805.0,33.0,17959.35,Net Banking,Cancelled,2.6
ORD10167,2023-02-24,February,Q1,Electronics,Smartphone,Chennai,Tamil Nadu,5,36229.05,22.0,141293.3,UPI,Delivered,3.7
ORD10168,2023-11-17,November,Q4,Electronics,Laptop,Chennai,Tamil Nadu,1,37356.62,30.0,26149.63,Cash on Delivery,Delivered,4.8
ORD10169,2023-06-02,June,Q2,Toys,Board Game,Ahmedabad,Gujarat,3,38786.92,15.0,98906.65,UPI,Delivered,3.8
ORD10170,2023-11-24,November,Q4,Books,Novel,Ahmedabad,Gujarat,4,23326.9,32.0,63449.17,UPI,Delivered,4.3
ORD10171,2023-09-17,September,Q3,Beauty,Perfume,Pune,Maharashtra,1,28148.11,9.0,25614.78,UPI,Cancelled,2.9
ORD10172,2023-11-08,November,Q4,Toys,Doll,Bangalore,Karnataka,2,16526.77,15.0,28095.51,Net Banking,Cancelled,4.6
ORD10173,2023-04-12,April,Q2,Beauty,Perfume,Kolkata,West Bengal,4,23068.41,29.0,65514.28,Debit Card,Cancelled,3.4
ORD10174,2023-03-20,March,Q1,Grocery,Dal 1kg,Ahmedabad,Gujarat,1,26221.02,34.0,17305.87,Credit Card,Delivered,2.7
ORD10175,2023-07-11,July,Q3,Toys,Board Game,Chennai,Tamil Nadu,1,35373.12,0.0,35373.12,UPI,Delivered,3.8
ORD10176,2023-03-24,March,Q1,Grocery,Tea 250g,Mumbai,Maharashtra,1,26634.01,16.0,22372.57,UPI,Cancelled,2.5
ORD10177,2023-10-04,October,Q4,Books,Data Science Book,Ahmedabad,Gujarat,4,40318.08,36.0,103214.28,Credit Card,Cancelled,2.8
ORD10178,2023-09-29,September,Q3,Home & Kitchen,Pressure Cooker,Chennai,Tamil Nadu,5,26346.48,33.0,88260.71,Net Banking,Delivered,3.2
ORD10179,2023-01-01,January,Q1,Beauty,Lipstick,Kolkata,West Bengal,5,12198.23,28.0,43913.63,Credit Card,Delivered,3.2
ORD10180,2023-11-03,November,Q4,Clothing,Kurta,Pune,Maharashtra,4,27657.44,2.0,108417.16,Debit Card,Delivered,2.5
ORD10181,2023-06-15,June,Q2,Grocery,Tea 250g,Madurai,Tamil Nadu,5,48867.59,39.0,149046.15,Credit Card,Delivered,4.7
ORD10182,2023-09-08,September,Q3,Sports,Badminton Set,Kolkata,West Bengal,3,2375.77,3.0,6913.49,Cash on Delivery,Cancelled,4.8
ORD10183,2023-01-10,January,Q1,Electronics,Laptop,Madurai,Tamil Nadu,1,48075.39,23.0,37018.05,Net Banking,Delivered,4.4
ORD10184,2023-02-27,February,Q1,Books,Python Guide,Jaipur,Rajasthan,2,28356.46,34.0,37430.53,Cash on Delivery,Delivered,4.2
ORD10185,2023-07-05,July,Q3,Toys,Board Game,Delhi,Delhi,5,37285.56,14.0,160327.91,Debit Card,Delivered,2.7
ORD10186,2023-06-07,June,Q2,Beauty,Sunscreen,Jaipur,Rajasthan,5,19865.32,31.0,68535.35,UPI,Returned,2.6
